Source,Target,airline,aid,s,d,codeshare,stops,equipment
1,2,CG,1308,GKA,MAG,,0,DH8
1,3,CG,1308,GKA,HGU,,0,DH8 DHT
1,4,CG,1308,GKA,LAE,,0,DH8
1,5,CG,1308,GKA,POM,,0,DH8
1,5,PX,328,GKA,POM,,0,DH4 DH8 DH3
2,1,CG,1308,MAG,GKA,,0,DH8
2,3,CG,1308,MAG,HGU,,0,DH8
2,4,CG,1308,MAG,LAE,,0,DH8
2,5,PX,328,MAG,POM,,0,DH4 100
2,6,CG,1308,MAG,WWK,,0,DH8
2,6,PX,328,MAG,WWK,,0,100 DH4
2,5430,PX,328,MAG,MAS,,0,100
2,5436,PX,328,MAG,VAI,,0,DH4
3,1,CG,1308,HGU,GKA,,0,DH8 DHT
3,2,CG,1308,HGU,MAG,,0,DH8
3,4,CG,1308,HGU,LAE,,0,DH8
3,5,CG,1308,HGU,POM,,0,DH8
3,5,PX,328,HGU,POM,,0,100
3,6,CG,1308,HGU,WWK,,0,DH8
3,6,PX,328,HGU,WWK,,0,100
3,5431,CG,1308,HGU,MXH,,0,DHT
3,5433,CG,1308,HGU,TIZ,,0,DH8
3,5434,CG,1308,HGU,TBG,,0,DH8
4,1,CG,1308,LAE,GKA,,0,DH8
4,2,CG,1308,LAE,MAG,,0,DH8
4,3,CG,1308,LAE,HGU,,0,DH8
4,5,CG,1308,LAE,POM,,0,DH8
4,5,PX,328,LAE,POM,,0,100 DH4
4,5421,CG,1308,LAE,DAU,,0,DH8
4,5423,CG,1308,LAE,PNP,,0,DH8
4,5424,CG,1308,LAE,HKN,,0,DH8
4,5424,PX,328,LAE,HKN,,0,DH4
4,5430,CG,1308,LAE,MAS,,0,DH8
4,5435,CG,1308,LAE,RAB,,0,DH8
5,1,CG,1308,POM,GKA,,0,DH8
5,1,PX,328,POM,GKA,,0,DH4 DH8 DH3
5,2,PX,328,POM,MAG,,0,100 DH4
5,3,CG,1308,POM,HGU,,0,DH8
5,3,PX,328,POM,HGU,,0,100
5,4,CG,1308,POM,LAE,,0,DH8
5,4,PX,328,POM,LAE,,0,100 DH4
5,6,PX,328,POM,WWK,,0,100 DH4
5,1960,PX,328,POM,NAN,,0,737
5,2279,PX,328,POM,NRT,,0,738
5,2397,PX,328,POM,MNL,,0,738
5,3077,PX,328,POM,HKG,,0,763
5,3316,PX,328,POM,SIN,,0,763738
5,3320,CG,1308,POM,BNE,,0,737
5,3320,PX,328,POM,BNE,,0,763738
5,3320,QF,4089,POM,BNE,Y,0,763738
5,3320,VA,5360,POM,BNE,Y,0,73H
5,3322,PX,328,POM,CNS,,0,DH4
5,3322,QF,4089,POM,CNS,Y,0,DH4
5,3361,PX,328,POM,SYD,,0,738
5,3361,QF,4089,POM,SYD,Y,0,738
5,3940,PX,328,POM,DPS,,0,738
5,4074,PX,328,POM,HIR,,0,DH4 737
5,4206,PX,328,POM,CEB,,0,738
5,5419,PX,328,POM,BUA,,0,100
5,5420,PX,328,POM,CMU,,0,DH8
5,5421,CG,1308,POM,DAU,,0,DH8 DHT
5,5421,PX,328,POM,DAU,,0,DH4 DH3
5,5422,CG,1308,POM,GUR,,0,DH8
5,5422,PX,328,POM,GUR,,0,DH3 DH4 DH8
5,5423,CG,1308,POM,PNP,,0,DH8
5,5423,PX,328,POM,PNP,,0,DH3 DH4 DH8
5,5424,CG,1308,POM,HKN,,0,DH8
5,5424,PX,328,POM,HKN,,0,DH4
5,5425,CG,1308,POM,UNG,,0,DH8
5,5425,PX,328,POM,UNG,,0,DH8 DH3
5,5428,PX,328,POM,KVG,,0,DH4 100
5,5429,PX,328,POM,MDU,,0,DH8
5,5430,PX,328,POM,MAS,,0,100737
5,5431,CG,1308,POM,MXH,,0,DH8
5,5433,CG,1308,POM,TIZ,,0,DH8
5,5433,PX,328,POM,TIZ,,0,DH8 DH3
5,5434,CG,1308,POM,TBG,,0,DH8
5,5434,PX,328,POM,TBG,,0,DH3
5,5435,CG,1308,POM,RAB,,0,DH8
5,5435,PX,328,POM,RAB,,0,100 DH4
5,5436,PX,328,POM,VAI,,0,DH4
5,5437,PX,328,POM,WBM,,0,DH8
5,5979,CG,1308,POM,LNV,,0,DH8
5,5979,PX,328,POM,LNV,,0,DH8 DH3
5,5984,CG,1308,POM,TFI,,0,DH8
6,2,CG,1308,WWK,MAG,,0,DH8
6,2,PX,328,WWK,MAG,,0,100 DH4
6,3,CG,1308,WWK,HGU,,0,DH8
6,3,PX,328,WWK,HGU,,0,100
6,5,PX,328,WWK,POM,,0,100 DH4
6,5436,PX,328,WWK,VAI,,0,DH4
7,8,GL,921,UAK,GOH,,0,DH8
7,9,GL,921,UAK,SFJ,,0,DH8
7,5440,GL,921,UAK,JFR,,0,DH8
7,5442,GL,921,UAK,JJU,,0,BH2
7,5445,GL,921,UAK,JNS,,0,BH2
8,7,GL,921,GOH,UAK,,0,DH8
8,9,GL,921,GOH,SFJ,,0,DH8
8,16,GL,921,GOH,KEF,,0,DH8
8,18,NY,896,GOH,RKV,,0,DH8
8,3995,GL,921,GOH,JAV,,0,DH8
8,4248,GL,921,GOH,KUS,,0,DH8
8,5440,GL,921,GOH,JFR,,0,DH8
8,5443,GL,921,GOH,JSU,,0,DH7
8,5447,GL,921,GOH,JHS,,0,DH8
9,7,GL,921,SFJ,UAK,,0,DH8
9,8,GL,921,SFJ,GOH,,0,DH8 DH7
9,609,GL,921,SFJ,CPH,,0,332
9,3995,GL,921,SFJ,JAV,,0,DH8
9,3997,GL,921,SFJ,JEG,,0,DH8
9,4248,GL,921,SFJ,KUS,,0,DH8
9,5443,GL,921,SFJ,JSU,,0,DH7
9,5447,GL,921,SFJ,JHS,,0,DH7 DH8
10,5446,GL,921,THU,NAQ,,0,BH2
11,18,NY,896,AEY,RKV,,0,F50 DH8
12,18,NY,896,EGS,RKV,,0,F50 DH8
15,18,NY,896,IFJ,RKV,,0,DH8
16,8,GL,921,KEF,GOH,,0,DH8
16,49,FI,2835,KEF,YEG,,0,75W
16,193,FI,2835,KEF,YYZ,,0,75W
16,302,FI,2835,KEF,BRU,,0,75W
16,337,W2,18553,KEF,SXF,Y,0,320
16,337,WW,1441,KEF,SXF,,0,320
16,340,FI,2835,KEF,FRA,,0,75W
16,346,FI,2835,KEF,MUC,,0,75W
16,421,AY,2350,KEF,HEL,Y,0,75W
16,421,FI,2835,KEF,HEL,,0,75W
16,478,FI,2835,KEF,MAN,,0,75W
16,478,U2,2297,KEF,MAN,,0,320319
16,490,U2,2297,KEF,BRS,,0,320319
16,492,U2,2297,KEF,LTN,,0,319
16,502,FI,2835,KEF,LGW,,0,75W
16,502,W2,18553,KEF,LGW,Y,0,320
16,502,WW,1441,KEF,LGW,,0,320
16,507,FI,2835,KEF,LHR,,0,75W
16,534,FI,2835,KEF,GLA,,0,75W
16,535,U2,2297,KEF,EDI,,0,319
16,580,FI,2835,KEF,AMS,,0,75W 75T
16,608,FI,2835,KEF,BLL,,0,75W
16,609,FI,2835,KEF,CPH,,0,75T 75W
16,609,W2,18553,KEF,CPH,Y,0,320
16,609,WW,1441,KEF,CPH,,0,320
16,636,DY,3737,KEF,BGO,,0,73H
16,636,FI,2835,KEF,BGO,,0,75W
16,644,DY,3737,KEF,OSL,,0,733
16,644,FI,2835,KEF,OSL,,0,75W 75T
16,644,SK,4319,KEF,OSL,,0,738 73W
16,737,FI,2835,KEF,ARN,,0,75W
16,1212,W2,18553,KEF,ALC,Y,0,320
16,1212,WW,1441,KEF,ALC,,0,320
16,1382,FI,2835,KEF,CDG,,0,75W
16,1382,W2,18553,KEF,CDG,Y,0,320
16,1382,WW,1441,KEF,CDG,,0,320
16,1678,FI,2835,KEF,ZRH,,0,75W
16,3448,FI,2835,KEF,BOS,,0,75W
16,3494,FI,2835,KEF,EWR,,0,75W
16,3577,FI,2835,KEF,SEA,,0,75W
16,3714,FI,2835,KEF,IAD,,0,75W
16,3751,FI,2835,KEF,DEN,,0,75W
16,3797,FI,2835,KEF,JFK,,0,75T
16,4053,U2,2297,KEF,BSL,,0,320
16,4167,FI,2835,KEF,SFB,,0,75W
18,8,NY,896,RKV,GOH,,0,DH8
18,11,NY,896,RKV,AEY,,0,F50 DH8
18,12,NY,896,RKV,EGS,,0,F50 DH8
18,15,NY,896,RKV,IFJ,,0,DH8
18,4248,NY,896,RKV,KUS,,0,DH8
21,121,JV,1434,YAM,YQT,,0,SWM
21,133,JV,1434,YAM,YSB,,0,SWM
21,144,PD,4021,YAM,YTZ,,0,DH4
21,193,AC,330,YAM,YYZ,Y,0,DH1
27,111,Q9,11838,YBC,YQB,,0,BEH
27,146,AC,330,YBC,YUL,Y,0,DH1
27,192,AC,330,YBC,YYY,Y,0,DH1
27,192,Q9,11838,YBC,YYY,,0,BEH
28,146,AC,330,YBG,YUL,Y,0,DH1
29,132,7F,2354,YBK,YRT,,0,AT4
29,132,MO,502,YBK,YRT,,0,AT4
29,147,7F,2354,YBK,YUT,,0,AT4
29,5487,5T,1623,YBK,YCS,Y,0,ATR
29,5487,MO,502,YBK,YCS,,0,AT4
29,5534,5T,1623,YBK,YXN,Y,0,ATR
30,119,8P,3856,YBL,YQQ,,0,SF3 BE1
30,119,AC,330,YBL,YQQ,Y,0,BEH
30,156,8P,3856,YBL,YVR,,0,BE1
30,7275,8P,3856,YBL,ZEL,,0,BE1
31,178,WS,5416,YBR,YYC,,0,DH4
32,37,5T,1623,YCB,YCO,,0,DH8 73M
32,37,7F,2354,YCB,YCO,,0,AT7
32,69,7F,2354,YCB,YHK,,0,AT7
32,183,5T,1623,YCB,YYH,,0,DH8
32,196,5T,1623,YCB,YZF,,0,DH8 73M
32,196,7F,2354,YCB,YZF,,0,AT7 73M
33,156,AC,330,YCD,YVR,Y,0,DH3
33,178,WS,5416,YCD,YYC,,0,DH4
34,156,AC,330,YCG,YVR,Y,0,DH3
34,178,AC,330,YCG,YYC,Y,0,DH3
37,32,5T,1623,YCO,YCB,,0,DH8 73M
37,32,7F,2354,YCO,YCB,,0,AT7
37,68,7F,2354,YCO,YHI,,0,AT7
37,196,5T,1623,YCO,YZF,,0,DH8 73M
37,196,7F,2354,YCO,YZF,,0,AT7
40,55,5T,1623,YCY,YFB,,0,DH8
40,55,7F,2354,YCY,YFB,,0,AT4
40,75,5T,1623,YCY,YIO,,0,DH8
40,75,7F,2354,YCY,YIO,,0,AT4
41,132,5T,1623,YZS,YRT,Y,0,ATR
41,132,MO,502,YZS,YRT,,0,AT4
41,140,7F,2354,YZS,YTE,,0,AT4
41,147,5T,1623,YZS,YUT,Y,0,AT4
41,147,MO,502,YZS,YUT,,0,AT4
41,5487,7F,2354,YZS,YCS,,0,AT4
45,73,AC,330,YDF,YHZ,Y,0,CRJ DH1
45,188,AC,330,YDF,YYR,Y,0,BEH
45,189,AC,330,YDF,YYT,Y,0,BEH
45,193,AC,330,YDF,YYZ,,0,E90
45,193,WS,5416,YDF,YYZ,,0,73W
49,16,FI,2835,YEG,KEF,,0,75W
49,70,WS,5416,YEG,YHM,,0,73W
49,72,J3,3734,YEG,YHY,,0,J31
49,87,WS,5416,YEG,YLW,,0,73W
49,90,AC,330,YEG,YMM,Y,0,DH4
49,90,J3,3734,YEG,YMM,,0,J31
49,90,KL,3090,YEG,YMM,Y,0,73W
49,90,WS,5416,YEG,YMM,,0,73W DH4
49,100,AC,330,YEG,YOW,,0,E90
49,100,WS,5416,YEG,YOW,,0,73W
49,119,WS,5416,YEG,YQQ,,0,73W
49,120,AC,330,YEG,YQR,Y,0,DH3
49,120,WS,5416,YEG,YQR,,0,DH4
49,122,AC,330,YEG,YQU,Y,0,DH3
49,122,WS,5416,YEG,YQU,,0,DH4
49,136,J3,3734,YEG,YSM,,0,J31
49,146,AC,330,YEG,YUL,,0,320
49,146,WS,5416,YEG,YUL,,0,736
49,156,AC,330,YEG,YVR,,0,E90 320 319
49,156,JL,2987,YEG,YVR,Y,0,73W
49,156,WS,5416,YEG,YVR,,0,73H 73W 736
49,160,AC,330,YEG,YWG,Y,0,CRJ
49,160,KL,3090,YEG,YWG,Y,0,737
49,160,WS,5416,YEG,YWG,,0,73W
49,166,AC,330,YEG,YXE,Y,0,DH3
49,166,WS,5416,YEG,YXE,,0,DH4
49,175,WS,5416,YEG,YXX,,0,73W
49,176,4N,341,YEG,YXY,,0,737
49,178,AC,330,YEG,YYC,Y,0,DH4 CRJ DH3
49,178,WS,5416,YEG,YYC,,0,73W DH4
49,184,WS,5416,YEG,YYJ,,0,736 73W
49,193,AC,330,YEG,YYZ,,0,320 319 E90
49,193,WS,5416,YEG,YYZ,,0,73H 73W
49,196,5T,1623,YEG,YZF,,0,73M 733
49,196,7F,2354,YEG,YZF,,0,73M 737
49,196,AC,330,YEG,YZF,Y,0,CRJ
49,196,JL,2987,YEG,YZF,Y,0,73W
49,196,WS,5416,YEG,YZF,,0,73W 736
49,507,AC,330,YEG,LHR,,0,763
49,507,LH,3320,YEG,LHR,Y,0,763
49,1836,WS,5416,YEG,PVR,,0,73W
49,1852,WS,5416,YEG,CUN,,0,73W
49,3462,AA,24,YEG,PHX,,0,320319737
49,3462,US,5265,YEG,PHX,,0,320319
49,3462,WS,5416,YEG,PHX,,0,73W 73H
49,3469,AC,330,YEG,SFO,Y,0,CR7
49,3469,UA,5209,YEG,SFO,Y,0,CR7
49,3484,AA,24,YEG,LAX,,0,737
49,3484,DL,2009,YEG,LAX,Y,0,73H
49,3484,WS,5416,YEG,LAX,,0,73H
49,3494,AC,330,YEG,EWR,Y,0,319
49,3494,UA,5209,YEG,EWR,,0,319
49,3550,AC,330,YEG,IAH,Y,0,738320737319
49,3550,UA,5209,YEG,IAH,,0,738 320 73G 319
49,3577,AS,439,YEG,SEA,Y,0,DH4
49,3670,AA,24,YEG,DFW,,0,319
49,3751,AC,330,YEG,DEN,Y,0,CR7 CRJ 319 E70
49,3751,UA,5209,YEG,DEN,,0,319
