source,target,population,weight
AF,fa,17000000,0.50000
AF,ps,15000000,0.43000
AF,haz,2100000,0.05900
AF,uz_Arab,1600000,0.04700
AF,tk,590000,0.01700
AF,prd,420000,0.01200
AF,bal,230000,0.00670
AF,bgn,220000,0.00630
AF,ug,3000,0.00009
AF,kk_Arab,2000,0.00006
AX,sv,26000,0.99000
AL,sq,3100000,1.00000
AL,el,58000,0.01900
AL,mk,14000,0.00470
DZ,arq,35000000,0.83000
DZ,ar,31000000,0.74000
DZ,fr,8300000,0.20000
DZ,kab,3200000,0.07800
DZ,en,2900000,0.07000
AS,sm,50000,0.99000
AS,en,49000,0.97000
AD,ca,44000,0.51000
AD,es,37000,0.43000
AD,fr,5700,0.06700
AO,pt,20000000,0.67000
AO,umb,8800000,0.29000
AO,kmb,7600000,0.25000
AO,ln,200000,0.00670
AI,en,17000,0.95000
AQ,und,300,1.00000
AG,en,82000,0.86000
AG,pt,1600,0.01700
AR,es,45000000,1.00000
AR,en,3100000,0.07000
AR,cy,29000,0.00065
AR,gn,21000,0.00047
AM,hy,3000000,0.98000
AM,ku,100000,0.03300
AW,nl,110000,0.97000
AW,pap,71000,0.61000
AW,en,3000,0.02600
AC,en,930,0.99000
AU,en,23000000,0.96000
AU,zh_Hant,490000,0.02100
AU,it,450000,0.01900
AU,wbp,2600,0.00011
AT,de,8500000,0.97000
AT,bar,8400000,0.95000
AT,en,6400000,0.73000
AT,fr,970000,0.11000
AT,it,790000,0.09000
AT,hr,110000,0.01200
AT,sl,33000,0.00370
AT,hu,24000,0.00270
AZ,az,8900000,0.89000
AZ,az_Cyrl,990000,0.09900
AZ,tly,980000,0.09800
AZ,ku,24000,0.00240
AZ,ttt,22000,0.00220
AZ,tkr,16000,0.00160
BS,en,330000,1.00000
BH,ar,1300000,0.87000
BH,ml,48000,0.03300
BD,bn,160000000,0.98000
BD,en,29000000,0.18000
BD,rkt,10000000,0.06500
BD,syl,8000000,0.05000
BD,ccp,350000,0.00220
BD,my,330000,0.00210
BD,grt,120000,0.00073
BD,mro,29000,0.00018
BD,mni,18000,0.00011
BB,en,290000,1.00000
BY,be,9500000,1.00000
BY,ru,1100000,0.12000
BE,en,6800000,0.59000
BE,nl,6400000,0.55000
BE,fr,4400000,0.38000
BE,de,2500000,0.22000
BE,vls,1200000,0.10000
BE,wa,670000,0.05800
BZ,en,390000,1.00000
BZ,es,110000,0.28000
BJ,fr,4000000,0.35000
BJ,fon,2800000,0.25000
BJ,yo,760000,0.06700
BM,en,65000,0.92000
BT,dz,360000,0.47000
BT,ne,130000,0.17000
BT,tsj,110000,0.15000
BT,en,84000,0.11000
BT,lep,30000,0.03900
BO,es,6900000,0.61000
BO,qu,3600000,0.32000
BO,ay,2300000,0.20000
BO,gn,51000,0.00450
BO,aro,110,0.00001
BA,bs,3800000,0.99000
BA,bs_Cyrl,3800000,0.99000
BA,en,1700000,0.45000
BA,hr,460000,0.12000
BA,sr,380000,0.10000
BA,sr_Latn,380000,0.10000
BW,en,1800000,0.81000
BW,tn,1400000,0.62000
BW,af,6100,0.00270
BV,und,1,1.00000
BR,pt,190000000,0.91000
BR,en,17000000,0.08000
BR,de,1800000,0.00840
BR,it,580000,0.00280
BR,ja,440000,0.00210
BR,es,77000,0.00037
BR,ko,44000,0.00021
BR,kgp,21000,0.00010
BR,gub,18000,0.00008
BR,yrl,11000,0.00005
BR,xav,10000,0.00005
VG,en,35000,0.98000
BN,ms,420000,0.93000
BN,zh_Hant,50000,0.11000
BN,ms_Arab,23000,0.05000
BN,en,8100,0.01800
BG,bg,7100000,1.00000
BG,en,1800000,0.25000
BG,ru,1600000,0.23000
BG,tr,780000,0.11000
BG,de,560000,0.08000
BF,mos,7900000,0.40000
BF,dyu,6300000,0.32000
BF,fr,4300000,0.22000
BI,rn,7500000,0.63000
BI,fr,7000000,0.59000
BI,sw,6400,0.00054
BI,en,6300,0.00053
KH,km,15000000,0.89000
KH,cja,260000,0.01600
